field,substantive_field,pmcid,doi,year,title,frequency,n,n_derived,lag_min,lag_max,direction,K,L,full_count,L_over_n,full_over_n,class_L,class_full,sig_claim,test_used,corrected,uncorrected_claim,quote_n,quote_lag,notes
EPI,epi,PMC13299343,10.3390/idr18030055,2026,Climate Variability Drives Dengue Transmission in Bangladesh.,monthly,144,y,0,3,one-sided,3,3,4,0.0208,0.0278,c,b,y,"CCF with p<0.05 marks, no prewhitening",n,y,Results The descriptive statistics of dengue incidence and related climate factors of the eight divisions of Bangladesh from 2014 to 2025 ... Data were aggregated to monthly counts at the division level.,"The lag times ranged from 0 to 3 months, reflecting the biologically plausible delays ...",n = 12 years x 12 months per division series.
EPI,epi,PMC13371377,10.1186/s12879-026-13643-6,2026,Climate variability and dengue incidence in southern Ecuador: an ecological analysis in two contrasting climatic settings (2019-2024).,weekly,52,y,0,16,one-sided,16,4,5,0.0769,0.0962,a,a,y,Spearman/Pearson p<0.05 per lag,n,y,"Table 3 Association between maximum temperature and dengue incidence by canton, year, and lag ... lag structures within the same calendar year","Spearman correlation across lag structures from 0 to 16 weeks ... operationalized as discrete intervals of 0, 4, 8, 12, and 16 weeks.",Scan is 5 discrete lags per canton-year; L counts the 4 nonzero lags searched (K=16 weeks). n<=52 per canton-year (derived).
EPI,epi,PMC12677548,10.1371/journal.pgph.0005598,2025,"Spatiotemporal co-distribution and time lagged cross correlation of malaria and dengue in Loreto, Peru.",weekly,1096,y,-104,104,symmetric,104,104,209,0.0949,0.1907,a,a,y,lag-52 differencing; 999-reshuffle permutation + K-S on distribution of optimal lags,y,n,time-lagged cross-correlation (TLCC) analysis between district-level dengue and malaria time series in Loreto between 2000-2021 ... we applied a lag-52 difference to each weekly time series,We assessed lags in a time window of +/-2 years (104 weeks),n = 1148 weeks minus 52 lost to seasonal differencing.
EPI,epi,PMC12851297,10.1016/j.joclim.2025.100546,2025,Climatic thresholds associated with increased dengue incidence across climate zones in Peru (2001-2022).,weekly,1148,y,0,20,one-sided,20,20,21,0.0174,0.0183,c,c,y,95% confidence level per lag,n,y,weekly dengue cases ... by district from 2001 to 2022,The cross-correlation between incidence rates and climate series was assessed over a range of lags from 0 to 20 weeks.,Station series may be shorter than 22 years; longest window used (favourable).
EPI,epi,PMC13551350,10.1111/irv.70313,2026,Assessing the Utility of Over-The-Counter Medication to Track Influenza Season Timing in a South African Population.,weekly,52,y,-8,8,symmetric,8,8,17,0.1538,0.3269,a,a,n,none on lag (descriptive peak CCF; CI on mean peak),na,n,FIGURE 4 Cross-correlation between OTC respiratory medication sales and influenza detections by province and year,Cross-correlations were estimated over lag periods ranging from -8 to +8 weeks.,CCF computed per province-year (n about 52 weekly points).
EPI,epi,PMC12922325,10.1186/s12936-026-05824-0,2026,"Climate variability and malaria incidence trends in Yumbe District, West Nile Sub-region of Uganda (2017-2021).",monthly,60,y,0,3,one-sided,3,3,4,0.05,0.0667,b,a,y,p<0.05 on highest correlation,n,y,association between climate variability and malaria incidence in Yumbe district ... over a five-year period (2017 to 2021),"lags of 0, 1, 2, and 3 months were tested ... The lag with the highest significant correlation coefficient (p < 0.05) was selected",
EPI,epi,PMC13183819,10.3389/fmed.2026.1820896,2026,"Analysis of influenza surveillance results in Sichuan Province in China, 2023-2025.",weekly,156,y,-8,8,symmetric,8,8,17,0.0513,0.109,a,a,y,p<0.05 on largest significant CCF,n,y,"from January 1, 2023, to December 31, 2025 ... unprocessed weekly surveillance data","The ideal lag time is determined by an iterative search within a cautious 8-week frame, selecting the time shift that produces the largest statistically significant positive cross-correlation coefficient with p < 0.05.","Direction read as +/-8 (""leading or lagging""); one-sided reading gives L=8, full 9: same class."
EPI,epi,PMC12830810,10.1038/s41598-025-33072-w,2025,Nationwide population-level influenza cycle threshold values and trends in influenza incidence: a longitudinal study.,weekly,52,y,1,10,one-sided,10,10,10,0.1923,0.1923,a,a,y,p-value on lag-4 r after first differencing; no selection correction,n,y,"national influenza surveillance data from Iran between March 21, 2023, and March 19, 2024",Table 3 Pearson correlation between D_ln_Ct and lagged influenza incidence (lags 1-10).,
EPI,epi,PMC13483624,10.1186/s12879-026-14153-1,2026,SALGINTR: development and early evaluation of a low-cost cloud-based digital participatory surveillance system for influenza-like Illness among physicians in Türkiye - a proof of concept.,weekly,13,n,-3,3,symmetric,3,3,7,0.2308,0.5385,a,a,n,moving-block bootstrap CI for peak lag,y,n,across the first 13 epidemiological weeks of the 2025-26 influenza season,Lead-lag structure was examined by cross-correlation at lags of +/- 1-3 weeks,Authors declared the peak lag not identifiable (bootstrap CI -2 to +2).
EPI,epi,PMC12586018,10.3389/fpubh.2025.1662775,2025,"Improving influenza prediction in Quanzhou, China: an ARIMAX model integrated with meteorological drivers.",weekly,417,y,0,3,one-sided (assumed),3,3,4,0.0072,0.0096,c,c,unclear,not stated,unclear,n,CCF analysis was conducted on the training set (2016-2023),with a maximum lag constraint of 3 weeks,
